Name,Team,date,GA1,GA2,GA3,GA
남윤성,SK,07월 04일,0,0,0,1
노경은,롯데,04월 27일,0,0,0,2
노경은,롯데,05월 04일,0,0,2,5
노경은,롯데,05월 11일,0,2,5,0
노경은,롯데,05월 18일,2,5,0,3
노경은,롯데,05월 24일,5,0,3,5
노경은,롯데,05월 30일,0,3,5,7
노경은,롯데,06월 05일,3,5,7,2
노경은,롯데,06월 12일,5,7,2,3
노경은,롯데,06월 17일,7,2,3,4
노경은,롯데,06월 23일,2,3,4,6
노경은,롯데,07월 06일,3,4,6,1
노경은,롯데,07월 08일,4,6,1,0
노경은,롯데,07월 12일,6,1,0,1
노성호,NC,04월 29일,1,1,0,1
노성호,NC,05월 20일,1,0,1,1
노성호,NC,05월 23일,0,1,1,1
노성호,NC,05월 29일,1,1,1,3
노성호,NC,06월 06일,1,1,3,0
노성호,NC,06월 17일,1,3,0,3
노성호,NC,06월 28일,3,0,3,4
니퍼트,KT,04월 22일,0,4,5,2
니퍼트,KT,04월 29일,4,5,2,3
니퍼트,KT,05월 05일,5,2,3,7
니퍼트,KT,05월 11일,2,3,7,6
니퍼트,KT,05월 17일,3,7,6,4
니퍼트,KT,05월 23일,7,6,4,5
니퍼트,KT,05월 29일,6,4,5,3
니퍼트,KT,06월 03일,4,5,3,2
니퍼트,KT,06월 09일,5,3,2,1
니퍼트,KT,06월 15일,3,2,1,3
니퍼트,KT,06월 21일,2,1,3,2
니퍼트,KT,06월 29일,1,3,2,2
니퍼트,KT,07월 05일,3,2,2,2
니퍼트,KT,07월 11일,2,2,2,3
듀브론트,롯데,04월 12일,5,5,7,4
듀브론트,롯데,04월 19일,5,7,4,4
듀브론트,롯데,04월 25일,7,4,4,2
듀브론트,롯데,05월 01일,4,4,2,0
듀브론트,롯데,05월 08일,4,2,0,2
듀브론트,롯데,05월 15일,2,0,2,3
듀브론트,롯데,05월 22일,0,2,3,0
듀브론트,롯데,05월 27일,2,3,0,4
듀브론트,롯데,06월 02일,3,0,4,2
듀브론트,롯데,06월 08일,0,4,2,1
듀브론트,롯데,06월 14일,4,2,1,3
듀브론트,롯데,06월 20일,2,1,3,2
듀브론트,롯데,07월 05일,1,3,2,6
듀브론트,롯데,07월 11일,3,2,6,3
레일리,롯데,04월 17일,3,2,2,6
레일리,롯데,04월 22일,2,2,6,6
레일리,롯데,04월 28일,2,6,6,4
레일리,롯데,05월 03일,6,6,4,3
레일리,롯데,05월 10일,6,4,3,2
레일리,롯데,05월 17일,4,3,2,0
레일리,롯데,05월 23일,3,2,0,6
레일리,롯데,05월 29일,2,0,6,2
레일리,롯데,06월 03일,0,6,2,0
레일리,롯데,06월 16일,6,2,0,1
레일리,롯데,06월 22일,2,0,1,2
레일리,롯데,06월 28일,0,1,2,5
레일리,롯데,07월 04일,1,2,5,5
레일리,롯데,07월 10일,2,5,5,6
로저스,넥센,04월 11일,3,6,2,5
로저스,넥센,04월 17일,6,2,5,2
로저스,넥센,04월 22일,2,5,2,1
로저스,넥센,04월 28일,5,2,1,3
로저스,넥센,05월 04일,2,1,3,0
로저스,넥센,05월 10일,1,3,0,3
로저스,넥센,05월 17일,3,0,3,2
로저스,넥센,05월 23일,0,3,2,5
로저스,넥센,05월 29일,3,2,5,5
로저스,넥센,06월 03일,2,5,5,3
류희운,KT,04월 10일,0,0,9,0
류희운,KT,04월 12일,0,9,0,0
류희운,KT,04월 17일,9,0,0,1
류희운,KT,04월 24일,0,0,1,0
류희운,KT,05월 03일,0,1,0,0
류희운,KT,05월 08일,1,0,0,0
류희운,KT,05월 16일,0,0,0,0
류희운,KT,05월 18일,0,0,0,2
류희운,KT,05월 22일,0,0,2,0
류희운,KT,05월 25일,0,2,0,0
류희운,KT,05월 27일,2,0,0,0
류희운,KT,06월 05일,0,0,0,2
류희운,KT,07월 07일,0,0,2,0
류희운,KT,07월 08일,0,2,0,0
린드블럼,두산,04월 13일,4,1,3,0
린드블럼,두산,04월 19일,1,3,0,2
린드블럼,두산,04월 25일,3,0,2,3
린드블럼,두산,05월 01일,0,2,3,2
린드블럼,두산,05월 06일,2,3,2,3
린드블럼,두산,05월 13일,3,2,3,2
린드블럼,두산,05월 20일,2,3,2,2
린드블럼,두산,05월 26일,3,2,2,1
린드블럼,두산,06월 01일,2,2,1,2
린드블럼,두산,06월 07일,2,1,2,0
린드블럼,두산,06월 13일,1,2,0,3
린드블럼,두산,06월 19일,2,0,3,5
린드블럼,두산,06월 24일,0,3,5,2
린드블럼,두산,06월 30일,3,5,2,0
린드블럼,두산,07월 07일,5,2,0,3
문경찬,KIA,04월 03일,0,0,0,3
문경찬,KIA,04월 12일,0,0,3,8
문경찬,KIA,04월 20일,0,3,8,0
문경찬,KIA,05월 25일,3,8,0,0
문경찬,KIA,05월 30일,8,0,0,1
문경찬,KIA,06월 17일,0,0,1,0
문경찬,KIA,06월 21일,0,1,0,0
문경찬,KIA,06월 24일,1,0,0,0
문경찬,KIA,06월 30일,0,0,0,3
문경찬,KIA,07월 08일,0,0,3,0
