Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,HR,SH,SF,R
신본기,롯데,04월 24일,0.2,0,1.1497,0,0.9,0,1.8,0,0.9,0,0.2,1.6,0.5247,0.625,4.8,3.9,0.4747,1.7,0,0,0,2
신본기,롯데,04월 25일,1,0,2.2316,0,0.2,0,6,0,0.2,0.9,1,2.3,1.5166,0.715,5.7,4.6,0.5916,3.3,0.9,0,0,1
신본기,롯데,04월 27일,0.2,0,2.9036,0,0.1,0,4.9,0,0.1,1.1,0.2,1.4,2.1333,0.7703,5,2.9,0.5833,1.6,1.1,0,0,1
신본기,롯데,04월 28일,0.1,0,1.6434,0,0,0,3.2,0,0,0.3,1,2.2,1,0.6434,4.9,4.4,0.6,1.4,0.3,0,0,0
신본기,롯데,04월 29일,0,0,0.4667,0,0,0,0.8,0,0,0.1,0.2,0.5,0.3,0.1667,4.8,4.6,0.15,0.3,0.1,0,0,1
신본기,롯데,05월 01일,0,0,1.7497,0,0,0,3.8,0,0,0.9,1,1.1,1.2497,0.5,4.8,3.9,0.3497,1.9,0.9,0,0,0
신본기,롯데,05월 02일,0,0,0.8166,0,0,0,1.7,0,0,0.2,0.2,1.1,0.4916,0.325,4.8,4.6,0.2916,1.3,0.2,0,0,1
신본기,롯데,05월 03일,0,0,0.7333,0,0,0,1.5,0.9,0,0.1,0.1,1.2,0.4083,0.325,4.8,4.7,0.3083,0.4,0.1,0,0,0
신본기,롯데,05월 05일,0,0,0.6,0,0,0,1.2,0.2,0,0,0.9,1.2,0.3,0.3,4.8,4.8,0.3,0.1,0,0,0,2
신본기,롯데,05월 08일,0,0,0.6,0,0,0,0.3,1,1.8,0,0.2,0.3,0.075,0.525,4.8,3,0.075,0.9,0,0,0,1
신본기,롯데,05월 10일,0,0,0.6,0,0,0,1,0.2,0.4,0,1,1,0.25,0.35,4.8,4.4,0.25,0.2,0,0,0,1
신본기,롯데,05월 13일,0.9,0,0.825,0,0,0,2,0.1,0.2,0,0.2,1.1,0.5,0.325,4.8,4.6,0.275,1,0,0,0,0
신본기,롯데,05월 15일,0.2,0,1.4753,0,0,0,2.3,0,0.9,0,0.1,2.1,0.7253,0.75,4.8,3.9,0.6753,0.2,0,0,0,0
신본기,롯데,05월 17일,1,0,1.7084,0,0,0,3.3,0,0.2,0,0.9,2.3,1.0834,0.625,4.8,3.7,0.7587,1.9,0,0.9,0,1
신본기,롯데,05월 19일,0.2,0,0.6667,0,0,0,0.8,0,1,0,2,0.6,0.2667,0.4,4.8,3.6,0.2001,0.4,0,0.2,0,2
신본기,롯데,05월 20일,0.1,0,1.325,0,0,0,1.2,0,1.1,0.9,1.4,1.1,0.55,0.775,4.8,2.7,0.5167,0.2,0,0.1,0,0
신본기,롯데,05월 22일,0,0,1.1147,1.8,0,0,1.1,0,2.1,0.2,1.3,1.1,0.3997,0.715,5.7,3.4,0.3997,0.9,0,0,0,0
